UserId,ProductId,Adet
26606343-a3f9-4c66-8486-7bdce1ffbca3,1,1
26606343-a3f9-4c66-8486-7bdce1ffbca3,3,1
26606343-a3f9-4c66-8486-7bdce1ffbca3,5,1
23132c41-e25f-4f41-9f72-c2d61ebefc4c,9,1
23132c41-e25f-4f41-9f72-c2d61ebefc4c,13,1
23132c41-e25f-4f41-9f72-c2d61ebefc4c,15,1
23132c41-e25f-4f41-9f72-c2d61ebefc4c,3,1
26606343-a3f9-4c66-8486-7bdce1ffbca3,9,1
9addb556-9460-43c7-9167-70a3b564aee8,19,1
0f6ae064-8ca9-466c-93ff-4c19aafc86b0,11,1
0f6ae064-8ca9-466c-93ff-4c19aafc86b0,3,1
9b57aa1f-cb5e-4278-965b-37aa7248589d,11,1
9b57aa1f-cb5e-4278-965b-37aa7248589d,3,1
9b57aa1f-cb5e-4278-965b-37aa7248589d,1,1
9b57aa1f-cb5e-4278-965b-37aa7248589d,15,1
9b57aa1f-cb5e-4278-965b-37aa7248589d,7,2
9b57aa1f-cb5e-4278-965b-37aa7248589d,2,2
9b57aa1f-cb5e-4278-965b-37aa7248589d,1,1
9b57aa1f-cb5e-4278-965b-37aa7248589d,2,2
9b57aa1f-cb5e-4278-965b-37aa7248589d,9,1
9b57aa1f-cb5e-4278-965b-37aa7248589d,18,1
9121e927-d920-4876-b4f2-f2d7d5cf77a7,11,1
cadbe6f5-5a8e-46b3-9cf7-1174db7e97be,16,1
69bed2d6-f71e-4ecb-b699-a98a10230b5e,16,1
69bed2d6-f71e-4ecb-b699-a98a10230b5e,16,7
69bed2d6-f71e-4ecb-b699-a98a10230b5e,6,1
69bed2d6-f71e-4ecb-b699-a98a10230b5e,16,1
992c2360-22a1-4941-9fe9-061b2d8aa796,1,1
992c2360-22a1-4941-9fe9-061b2d8aa796,18,1
969813f9-449e-4337-9885-2b733dc15f95,2,1
24c16903-4e32-4427-83a7-7d0a1264f5b0,2,1
fdeb84be-4aa4-464c-b604-31bc25703321,1,1
992c2360-22a1-4941-9fe9-061b2d8aa796,2,1
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,5,1
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,5,2
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,16,1
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,2,1
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,4,1
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,7,1
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,2,2
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,1,1
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,1,2
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,1,1
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,2,1
d5b5d6bd-6e4b-480f-ad94-38e17bc61ea4,2,1
c3f45622-adb7-4e51-9865-5eadae04a15d,2,1
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,5,1
65797de9-eb55-4ed9-be25-e61eda32b4c4,16,1
7164d749-809d-4daf-b55c-0ac0783bf373,16,1
7164d749-809d-4daf-b55c-0ac0783bf373,1,1
7164d749-809d-4daf-b55c-0ac0783bf373,5,2
7164d749-809d-4daf-b55c-0ac0783bf373,7,1
7164d749-809d-4daf-b55c-0ac0783bf373,1,3
7164d749-809d-4daf-b55c-0ac0783bf373,4,1
7164d749-809d-4daf-b55c-0ac0783bf373,16,1
7d05a2f3-d3b2-4ee9-80c9-c23f223599c3,1,1
7d05a2f3-d3b2-4ee9-80c9-c23f223599c3,2,1
7d05a2f3-d3b2-4ee9-80c9-c23f223599c3,9,1
1abc9ca4-6ac3-4463-af31-e167f362cc33,2,1
1abc9ca4-6ac3-4463-af31-e167f362cc33,16,1
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,1,1
bd6101b5-f40c-4a43-b5e1-e966bd8d1e1a,5,1
bd6101b5-f40c-4a43-b5e1-e966bd8d1e1a,16,1
bd6101b5-f40c-4a43-b5e1-e966bd8d1e1a,16,1
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,16,1
f295fbdf-b8c1-4189-9a0a-db6d3dd6229e,16,1
